rteno,BCR,obs_species_2010,est_species_2010,obs_species_2011,est_species_2011,obs_species_2012,est_species_2012,obs_species_2013,est_species_2013,obs_species_2014,est_species_2014
27048,27,63,69,67,81,67,82,67,92,65,93
27049,27,53,63,53,72,55,67,53,82,53,61
27050,27,60,70,60,92,56,68,59,68,58,67
27051,27,66,77,69,100,66,75,62,68,64,75
27052,27,54,59,56,64,60,69,56,67,59,70
27053,27,,,,,,,61,77,53,58
27054,27,53,72,50,62,51,81,,,,
27057,27,58,69,55,82,50,80,51,61,58,103
27102,27,,,,,36,60,,,,
27111,27,50,56,,,53,65,50,73,,
27112,27,60,75,57,71,53,63,57,69,52,65
27117,27,43,51,,,,,44,77,,
27123,29,,,,,60,71,66,118,59,73
27155,27,58,71,51,70,52,83,50,60,55,79
27156,27,52,74,46,51,51,86,48,54,47,72
27158,27,43,79,48,61,52,91,41,68,44,58
27301,27,,,49,76,44,69,47,60,49,69
27302,27,,,,,37,43,43,53,39,47
27303,27,,,36,45,41,59,38,50,43,65
27304,27,34,49,35,43,32,36,31,37,35,54
27305,27,51,61,51,64,55,74,49,56,52,62
27306,27,,,,,,,52,60,44,54
27307,27,24,32,22,23,21,40,,,28,40
27308,27,,,55,67,,,53,83,,
27309,27,69,90,59,70,62,79,67,104,66,80
27310,27,52,58,,,,,,,,
27312,27,,,,,61,88,,,,
27313,27,,,,,,,57,64,55,64
27314,27,50,56,50,58,56,72,59,67,57,74
27316,27,,,,,45,55,38,43,,
27317,27,54,67,49,79,49,60,56,78,59,68
27318,27,,,,,,,57,80,52,67
27319,27,,,53,79,48,70,54,64,55,82
27321,27,53,58,,,55,65,53,61,58,68
27322,29,50,60,50,76,52,82,55,80,56,85
27323,29,,,49,56,53,66,,,,
27325,29,52,72,53,63,,,55,65,,
27326,29,,,49,59,49,57,52,64,48,58
27327,29,62,79,57,62,54,68,66,87,61,78
27329,29,67,74,65,73,69,104,,,63,68
27331,29,57,70,55,73,53,60,61,69,,
27332,29,47,57,47,57,54,67,48,59,46,51
27333,29,44,52,49,59,49,78,50,82,49,56
27335,28,54,64,50,60,51,79,50,67,48,62
27336,28,,,57,65,60,94,51,60,61,72
27337,28,,,50,57,48,56,,,,
27430,29,,,,,,,66,86,64,72
33001,10,87,109,83,130,87,127,81,111,81,108
33002,10,35,40,44,74,42,79,47,66,43,57
33003,10,32,37,,,31,38,38,66,36,45
33004,9,62,80,57,94,,,,,,
33006,10,48,58,,,40,49,41,58,45,74
33007,10,30,39,26,29,29,53,,,,
33008,10,44,74,39,59,41,54,41,59,42,53
33010,9,62,76,57,67,59,94,65,80,61,80
33012,10,49,84,47,71,48,58,47,56,47,57
33013,10,39,69,55,72,,,,,,
33014,9,55,71,,,63,90,59,102,60,91
33015,9,36,47,37,57,32,40,,,,
33016,9,,,,,,,45,56,,
33017,9,,,,,32,40,31,35,,
33018,10,52,81,57,91,47,62,51,70,42,83
33020,9,21,26,21,24,20,23,23,33,24,48
33021,9,31,54,30,61,30,63,31,46,28,58
33022,9,,,,,,,32,49,33,43
33023,9,61,86,,,53,73,44,80,55,108
33025,9,73,119,76,130,75,118,67,109,76,122
33026,9,,,,,26,32,,,,
33027,9,27,40,26,34,21,35,25,48,29,57
33029,10,58,75,55,90,56,103,52,102,,
33030,10,,,,,,,52,87,40,76
33111,10,62,91,,,60,72,62,97,70,106
33119,10,46,70,48,58,48,57,53,73,48,60
33124,9,45,62,44,73,46,70,38,49,44,69
33128,9,41,66,39,79,41,66,38,64,36,50
33202,10,33,56,27,33,33,55,30,36,30,42
33204,9,56,66,58,73,53,63,53,60,56,88
33207,10,38,51,38,63,,,34,44,33,40
33208,10,,,42,63,39,75,36,47,35,75
33209,10,28,38,27,32,31,49,27,32,,
33211,10,,,51,88,51,70,37,65,46,76
33212,10,27,33,32,40,30,49,33,46,36,52
33213,10,,,,,27,34,28,40,,
33214,9,40,54,,,41,50,48,79,38,72
33217,9,44,54,44,55,46,59,44,59,49,64
33218,10,73,105,64,113,51,79,57,94,45,69
33219,9,51,64,47,56,45,53,49,67,42,47
33220,9,17,27,12,14,15,16,13,15,17,37
33221,9,,,38,44,,,,,35,39
33222,9,,,48,58,40,54,53,82,45,72
33223,9,42,53,39,49,40,50,38,47,39,47
33224,9,,,24,55,29,63,,,22,44
33225,9,53,72,46,54,40,49,52,66,52,84
33226,9,48,65,44,58,46,82,,,45,77
33227,9,31,59,29,52,30,38,28,38,32,63
33228,9,51,69,,,42,73,,,46,71
34001,23,55,65,55,70,56,65,53,62,56,67
34002,22,58,76,54,81,61,82,59,71,54,61
34003,22,47,58,41,73,47,62,44,52,40,52
34005,22,,,34,40,28,56,,,,
34006,22,,,,,26,52,,,25,30
34007,22,,,49,58,49,62,45,51,,
34008,22,47,78,41,52,43,52,42,55,42,75
34009,22,50,58,40,53,41,50,44,61,36,44
34010,22,61,80,69,83,64,74,62,69,69,82
34011,22,,,48,58,53,66,63,82,56,73
34012,22,39,59,38,66,33,55,38,61,,
34013,22,39,42,35,57,37,44,40,53,38,62
34014,22,52,91,56,77,54,74,49,66,54,73
34015,22,,,,,,,,,38,51
34016,22,56,75,,,52,77,48,62,50,80
34017,22,48,65,54,84,47,82,52,100,50,69
34018,22,,,,,,,54,73,49,58
34019,22,51,63,51,76,48,62,55,95,51,62
34020,22,40,64,45,76,48,74,41,55,44,60
34021,22,48,62,53,67,49,64,52,61,48,69
34022,22,61,81,58,88,57,99,64,101,55,97
34023,22,49,71,55,92,50,56,49,69,54,71
34024,22,29,55,42,52,40,46,45,58,,
34025,22,51,62,51,78,52,89,49,55,53,61
34026,22,56,67,57,77,59,80,49,71,55,93
34027,22,,,,,54,70,54,64,51,80
34028,22,32,46,,,,,,,40,58
34029,22,37,61,35,44,38,58,34,55,40,72
34030,22,40,49,40,65,44,61,36,54,40,69
34031,22,34,46,,,37,46,35,43,32,40
34032,22,34,47,25,31,36,44,34,53,29,33
34034,22,45,82,50,61,52,92,49,73,,
34036,22,,,49,72,42,52,43,64,44,53
34037,22,,,51,65,,,,,,
34038,22,45,48,53,81,46,76,39,52,44,63
34040,22,,,51,62,49,80,46,58,50,91
34041,22,41,69,37,67,34,45,35,64,35,58
34042,22,32,42,35,45,33,38,39,59,33,43
34043,22,48,60,44,75,42,51,37,63,42,53
34044,22,32,53,34,56,36,42,40,57,33,61
34045,22,,,53,66,54,87,49,57,,
34046,22,65,102,62,74,59,65,65,95,71,90
34047,22,37,49,38,63,36,49,,,43,78
34048,22,,,55,68,59,88,62,72,,
34049,22,73,83,70,95,70,87,70,88,68,75
34050,22,76,91,77,101,79,96,77,101,78,98
34051,22,60,73,58,81,65,111,42,67,46,55
34052,22,64,93,66,100,73,85,61,68,66,83
34053,22,,,43,68,40,70,51,79,58,89
34054,24,56,71,48,60,62,73,38,46,68,83
34055,22,47,55,52,71,55,67,53,61,57,68
34056,24,55,64,63,100,53,59,64,114,55,65
34057,22,52,62,60,72,58,92,52,65,59,98
34058,24,51,72,,,,,,,,
34059,24,64,85,67,93,62,81,58,84,62,83
34060,24,60,83,63,77,63,69,67,73,78,113
34061,24,59,73,57,83,55,60,58,69,53,64
34062,24,64,79,64,73,67,77,67,80,71,102
34063,24,66,103,64,74,63,79,59,74,57,91
34065,22,53,62,51,72,50,60,47,53,42,50
34066,22,45,55,45,53,55,72,53,64,48,72
34067,22,53,87,50,85,46,60,48,71,44,49
34068,22,,,43,78,46,69,42,75,39,56
34069,22,56,99,54,72,53,66,56,70,54,76
34070,22,49,63,59,85,57,78,53,67,42,58
34071,22,47,56,48,57,50,66,47,54,52,84
34073,22,44,57,,,,,,,43,66
34074,22,62,81,62,73,,,67,82,60,68
34075,22,44,56,49,80,39,69,38,65,41,49
34076,22,48,55,47,59,,,45,52,49,60
34077,24,57,94,,,61,72,,,58,73
34078,22,38,57,,,47,67,61,75,56,83
34079,24,51,59,49,62,48,53,47,55,46,56
34080,24,69,91,67,81,68,79,68,88,74,110
34081,24,57,68,,,,,,,,
34104,23,29,34,32,53,27,48,40,50,22,23
34135,22,55,67,55,81,,,51,63,64,80
34301,23,58,75,58,65,55,62,59,70,59,69
34302,23,56,63,60,70,59,75,58,83,58,67
34303,22,,,48,53,46,56,48,68,,
34304,22,44,51,44,50,44,70,39,60,45,51
34305,22,38,57,36,55,33,37,32,37,37,54
34306,22,40,51,47,62,39,53,33,38,35,43
34307,22,45,50,,,,,,,,
34308,22,39,59,37,45,39,67,,,35,66
34309,22,54,89,55,93,,,49,81,46,66
34310,22,61,76,57,71,62,74,65,81,,
34311,22,63,76,,,,,67,79,60,90
34312,22,46,51,47,53,59,96,45,55,48,58
34313,22,,,,,,,,,30,45
34314,22,,,51,96,48,82,49,93,48,87
34315,22,59,71,54,62,61,80,57,73,,
34316,22,76,92,54,80,69,81,60,79,59,72
34317,22,59,84,54,58,62,75,59,64,,
34318,24,56,86,52,62,55,65,57,69,56,84
34319,24,54,69,55,88,66,83,,,,
35002,22,62,97,52,56,54,64,54,62,53,64
35004,23,48,69,51,58,53,63,,,,
35005,23,56,67,53,60,53,71,58,66,57,72
35006,23,48,83,42,51,51,62,40,51,58,71
35007,23,,,,,,,46,54,40,54
35009,23,59,87,55,81,54,66,51,63,,
35010,22,55,78,54,69,51,85,48,66,50,89
35011,22,51,79,51,69,44,69,41,47,53,97
35012,22,65,78,58,70,59,81,62,72,51,59
35013,22,66,77,65,76,66,87,63,78,62,79
35014,22,66,107,59,71,59,75,58,71,59,79
35016,22,,,47,54,53,66,48,57,49,59
35018,22,,,,,50,60,54,66,49,57
35019,22,,,67,79,69,82,,,75,103
35020,22,38,54,35,48,37,61,39,51,,
35021,24,66,87,66,94,68,77,66,91,61,70
35022,24,60,79,,,61,79,55,65,55,67
35023,24,69,75,,,,,,,,
35024,22,,,54,65,,,,,,
35026,24,68,104,65,78,66,72,66,79,63,82
35027,24,,,,,63,79,63,74,61,70
35028,22,51,63,51,59,52,60,51,56,49,59
35029,22,48,72,45,53,44,51,37,45,,
35030,22,50,60,43,64,46,55,40,54,43,52
35031,22,56,80,53,60,53,68,50,79,52,82
35032,24,,,,,54,81,54,59,56,61
35033,24,,,,,,,,,68,100
35034,24,61,89,65,88,60,74,,,66,112
35035,24,75,83,76,83,81,125,77,84,75,87
35037,24,71,83,75,90,76,91,65,73,72,87
35038,24,74,87,81,96,77,89,75,97,74,100
35039,24,69,89,69,81,69,97,69,88,68,78
35040,24,,,,,,,,,58,73
35041,24,,,,,64,73,63,84,59,64
35042,24,,,69,101,70,89,67,108,58,85
35103,23,40,58,54,66,57,85,,,46,57
35108,23,75,85,,,,,77,116,,
35115,22,38,45,39,49,43,51,45,70,,
35117,22,42,58,48,62,50,56,47,58,50,62
35201,22,41,50,51,58,47,59,49,58,47,68
35301,22,,,48,57,42,50,46,67,41,73
35302,23,,,,,,,,,31,51
35303,23,48,55,51,76,53,89,48,56,,
35305,22,48,58,44,55,45,61,43,51,,
35306,22,50,69,46,62,48,64,47,61,43,50
35308,22,38,44,44,69,39,59,42,53,,
35309,22,60,68,69,89,,,69,81,62,74
35313,24,60,74,59,70,62,74,66,106,56,86
35314,24,72,77,74,103,69,73,69,75,71,85
35315,24,62,82,62,78,58,64,61,71,64,95
35316,24,58,68,53,63,,,,,,
36001,22,61,72,61,93,59,85,54,73,51,63
36002,22,55,79,55,62,56,67,53,64,56,60
36003,22,57,76,56,90,55,61,60,70,,
36004,22,42,56,,,52,57,58,71,51,55
36006,22,44,75,37,56,42,49,40,48,36,47
36007,22,52,62,53,79,50,61,51,71,53,81
36009,22,54,67,51,63,50,57,51,77,49,56
36010,22,39,44,,,,,,,,
36011,22,51,71,,,49,56,45,51,46,58
36013,11,47,52,43,50,45,53,52,82,50,66
36014,11,56,98,47,66,48,62,44,51,46,56
36015,22,34,51,37,46,37,46,30,35,38,48
36016,22,,,,,,,64,78,54,60
36017,22,55,87,49,68,56,93,52,66,49,56
36019,22,,,37,50,33,45,41,57,,
36020,22,,,,,41,64,41,70,,
36021,22,,,,,36,60,35,44,,
36022,11,,,,,,,,,30,33
36024,11,35,54,45,52,34,42,38,45,33,49
36025,11,43,63,42,70,44,52,47,62,,
36026,22,42,50,,,44,54,53,74,41,60
36027,22,60,83,,,62,75,65,70,61,81
36028,22,46,55,49,66,49,60,45,77,47,78
36029,23,44,58,50,72,,,43,49,42,48
36030,22,,,26,32,,,,,,
36032,11,34,52,28,33,33,40,31,40,30,31
36033,22,30,33,35,50,28,32,30,31,32,41
36105,22,59,86,55,62,62,95,52,57,62,90
36108,22,28,37,31,39,33,48,32,45,29,46
36118,22,,,,,45,68,48,67,,
36123,11,38,65,,,34,47,32,38,32,41
36131,11,,,,,44,62,34,38,,
38001,22,42,68,42,67,47,68,41,64,,
38002,22,46,83,44,72,46,56,44,77,48,59
38003,22,47,56,51,60,,,,,50,63
38004,22,40,44,51,84,39,57,36,43,46,53
38006,19,54,66,52,62,55,74,53,64,55,62
38007,19,55,64,54,69,50,58,55,71,60,78
38008,19,32,42,35,48,38,68,39,49,44,69
38009,19,,,46,51,,,,,47,63
38010,19,51,62,54,66,,,,,37,44
38011,19,37,39,35,41,45,59,38,46,42,48
38012,18,,,26,28,30,36,,,27,39
38013,22,,,,,60,68,62,72,57,69
38014,22,57,81,61,75,62,76,60,72,57,65
38015,22,57,67,56,81,57,66,58,94,58,86
38016,22,62,67,66,74,62,90,66,75,69,91
38017,22,39,52,47,72,35,61,47,64,52,61
38019,19,58,60,57,70,58,68,52,58,58,65
38020,19,55,89,,,41,50,36,39,55,87
38021,19,63,68,64,71,60,65,59,68,60,82
38022,19,,,44,54,42,47,48,58,46,63
38023,19,,,27,31,,,,,33,36
38024,18,24,45,19,21,18,20,,,,
38025,19,41,52,47,63,49,70,39,52,42,52
38026,22,62,82,64,74,65,89,62,75,61,68
38027,22,54,63,58,72,55,83,44,57,56,85
38028,19,52,62,55,74,53,59,54,65,57,68
38029,22,57,65,59,79,69,80,,,61,80
38030,19,54,59,50,57,56,74,52,68,62,82
38031,19,48,63,47,54,,,52,64,48,60
38032,19,55,60,58,65,59,66,58,64,63,73
38034,19,30,54,41,74,40,60,41,61,32,33
38035,19,39,68,,,35,47,35,54,36,41
38036,19,,,45,58,39,63,44,53,,
38037,19,31,52,25,26,33,58,30,34,28,43
38038,18,25,37,23,39,17,18,,,20,24
38105,22,38,48,46,56,39,47,39,57,44,59
38118,19,54,58,56,64,50,59,49,52,59,72
38133,19,47,54,,,51,59,51,56,47,73
38301,22,41,49,40,53,47,83,42,70,,
38302,22,49,62,47,59,44,59,42,51,44,67
38303,22,56,62,59,94,62,81,63,90,57,62
38304,19,52,95,52,69,54,71,53,75,48,64
38305,19,46,53,53,63,43,48,46,72,,
38306,19,,,30,36,,,,,35,42
38307,18,29,34,33,47,26,27,34,40,30,35
38308,18,26,32,,,20,22,,,17,27
38309,22,69,103,77,119,78,95,71,108,74,106
38310,22,,,63,93,66,96,,,,
38311,22,62,74,59,75,53,57,62,97,58,68
38312,19,48,64,48,58,42,49,44,54,42,47
38313,19,31,37,,,32,49,,,37,43
38314,19,,,45,55,45,55,46,72,51,72
38315,18,29,53,22,39,21,46,19,22,23,29
38316,18,30,43,24,29,19,22,,,17,21
38317,22,70,110,66,79,62,87,69,115,67,91
38318,22,,,58,71,64,81,63,94,,
38319,19,,,55,68,55,65,,,54,65
38321,19,,,,,46,54,,,,
38322,19,37,47,34,44,33,39,31,39,25,29
38323,18,31,48,34,65,26,31,24,34,24,41
38420,19,,,52,86,48,59,45,54,52,76
39001,28,75,81,78,102,,,,,53,70
39002,27,56,93,53,67,62,89,,,56,100
39003,27,61,69,60,70,65,78,61,84,62,70
39004,24,75,96,62,70,67,99,66,80,75,93
39005,24,56,66,55,74,57,84,57,79,57,66
39006,24,57,64,58,84,58,70,53,60,56,64
39008,24,64,72,65,93,63,74,58,80,64,73
39009,24,66,71,65,77,67,76,66,73,68,77
39010,28,64,77,71,92,65,79,72,105,65,75
39011,28,65,86,70,79,70,85,70,84,65,70
39021,24,63,76,61,71,61,66,62,89,62,78
39022,24,67,79,67,76,66,78,64,74,67,95
39023,24,47,57,56,65,48,58,52,71,53,62
39025,24,69,96,75,98,74,84,69,85,69,80
39026,24,68,74,,,56,76,53,60,55,65
39028,24,62,93,68,85,66,110,61,73,66,108
39029,24,56,60,62,66,50,57,46,54,52,57
39030,24,61,71,59,64,61,69,64,79,62,75
39031,24,,,64,74,59,71,,,,
39035,24,54,67,,,56,64,50,54,55,81
39036,24,79,94,,,78,105,75,87,,
39039,24,56,70,53,62,54,66,53,62,55,69
39040,24,54,88,45,54,44,57,,,,
39041,24,65,75,64,74,60,92,60,89,61,71
39043,24,61,69,69,81,63,70,61,70,62,66
39044,24,51,62,55,86,51,83,72,94,59,64
39107,24,80,95,,,,,65,73,,
39112,26,,,,,64,81,,,67,79
39117,28,61,77,66,87,65,102,60,94,59,79
39118,28,69,80,67,88,64,72,68,76,67,73
39120,24,66,84,57,75,59,66,61,84,55,66
39124,24,77,88,77,89,77,89,70,76,,
39127,24,57,73,,,,,65,74,68,82
39132,24,61,69,,,64,80,58,65,63,92
39133,24,,,,,53,58,53,68,55,74
39134,24,70,85,69,73,63,76,62,68,67,71
39137,24,53,62,51,62,52,62,50,57,54,66
39145,28,62,96,56,62,60,69,58,63,64,76
39146,28,66,76,65,73,63,83,67,89,68,110
42009,26,50,66,50,61,47,59,48,75,46,58
42010,27,51,56,49,62,53,63,62,84,53,60
42011,26,46,54,45,58,40,48,51,63,,
42012,27,59,70,58,70,54,64,55,64,,
42015,37,54,75,56,73,55,81,51,69,51,65
42016,25,66,78,66,105,58,72,64,87,60,90
42017,26,52,66,,,52,88,47,61,65,84
42018,26,49,69,45,50,,,35,51,,
42020,25,56,68,62,102,53,60,,,53,67
42026,25,54,64,51,85,47,63,51,68,54,62
42027,25,56,77,,,44,49,,,,
42030,37,42,50,54,86,48,60,50,61,49,64
42031,37,65,75,68,95,,,,,65,69
42032,27,55,61,57,64,54,68,53,59,,
42033,26,61,71,66,73,60,66,63,72,64,71
42034,37,47,59,40,63,39,61,41,67,,
42036,25,,,50,54,53,62,52,64,,
42038,26,36,45,33,48,33,53,36,49,,
42050,26,,,,,,,38,45,41,49
42051,26,34,62,37,47,37,45,40,50,41,56
42052,37,55,65,51,65,,,53,71,49,58
42053,26,57,81,64,77,,,53,71,47,69
42054,27,53,59,59,67,,,,,,
42055,37,48,82,43,51,43,64,44,64,50,78
42056,25,54,66,44,51,41,54,65,86,59,71
42057,26,50,57,47,57,49,64,60,69,54,60
42058,25,38,48,43,50,35,43,32,58,36,51
42059,25,48,75,38,48,46,67,49,68,,
42060,26,44,52,45,69,34,40,37,66,,
42061,25,57,78,46,79,40,73,58,66,55,72
42062,25,43,53,39,68,44,54,,,48,62
42101,26,45,75,40,45,45,62,43,49,47,56
42102,37,39,46,35,41,,,36,44,38,55
42104,26,51,59,50,75,49,71,53,81,52,57
42105,26,49,60,59,73,,,43,50,,
42106,37,,,,,,,61,85,57,71
42113,37,43,50,50,73,42,52,,,,
42119,25,41,50,39,67,37,52,36,53,37,50
42122,25,40,42,,,40,69,,,,
42123,26,,,35,44,,,37,45,,
42124,26,39,48,39,49,40,51,32,37,,
42125,25,49,84,46,53,54,73,55,66,53,72
42128,25,52,69,54,95,54,93,53,72,47,57
42137,25,41,67,43,57,41,68,43,77,,
42139,25,55,73,46,55,47,63,49,72,,
42140,25,40,47,41,61,,,65,80,,
42206,37,48,58,48,67,,,,,,
42207,37,,,32,39,40,52,47,56,48,65
42208,27,46,51,51,70,49,61,50,64,53,62
42221,25,45,61,46,67,43,54,42,51,,
42240,25,,,,,,,,,62,75
42301,25,,,,,42,46,50,56,55,77
42302,25,,,51,61,46,59,44,51,50,55
42303,26,,,45,57,36,42,36,46,43,48
42304,25,,,46,77,48,60,52,65,52,75
42305,25,59,97,48,56,,,,,,
42306,25,48,61,56,99,54,74,,,58,74
42308,37,50,58,57,76,,,,,54,64
42309,26,63,77,,,61,89,64,78,,
42311,37,54,63,,,44,66,,,54,66
42312,26,,,59,76,60,81,63,96,53,63
42405,25,,,,,,,54,76,48,78
42407,37,,,60,88,,,,,59,77
42410,27,55,60,61,77,,,54,63,,
42411,37,56,74,57,82,,,,,,
42414,25,,,45,55,40,49,62,74,58,64
44001,30,43,70,45,77,40,46,45,75,36,64
44002,14,52,66,,,,,51,73,43,52
44003,14,,,44,51,,,40,50,38,68
44004,30,40,48,41,48,40,51,45,59,43,57
44005,14,53,86,,,,,,,,
44006,14,57,90,45,65,44,55,48,78,50,66
44007,14,65,76,,,65,107,60,85,46,55
44008,14,61,77,,,,,,,,
44009,14,55,63,,,,,,,53,64
44010,14,58,66,54,70,,,60,76,61,95
44011,14,45,61,,,43,86,39,70,,
44012,14,58,84,55,84,63,89,58,66,65,98
44013,14,55,69,58,74,62,78,61,74,61,76
44014,14,63,74,62,105,,,58,68,,
44016,14,,,,,,,,,40,50
44019,14,54,80,57,88,56,68,55,71,47,58
44021,14,54,65,59,73,,,61,80,60,72
44022,14,55,66,60,102,,,59,77,48,62
44023,14,,,,,,,49,55,54,67
44024,14,49,71,,,55,92,,,,
44026,14,56,69,55,71,55,78,60,69,54,73
44027,14,61,77,,,,,,,47,52
44031,14,56,83,58,74,50,76,52,83,49,63
44032,14,59,72,53,74,51,70,55,73,57,82
44033,14,53,64,57,101,,,51,60,60,71
44035,14,43,52,52,85,49,67,52,81,59,69
44036,14,48,66,47,66,44,69,59,73,56,80
44037,14,35,46,,,31,46,36,49,28,47
44040,14,56,91,54,86,47,59,52,60,53,67
44041,14,49,72,52,65,,,,,50,61
44050,14,43,73,53,70,,,,,,
44052,14,,,57,101,,,,,,
44056,14,,,48,64,,,,,,
44058,14,44,50,47,61,,,45,74,,
44108,14,,,53,62,59,69,,,,
44115,14,52,81,52,76,,,56,86,55,80
44117,14,54,80,,,,,,,,
44120,14,54,82,55,78,53,73,54,79,57,102
44129,14,,,,,,,46,80,46,67
44146,14,49,64,55,85,,,45,56,,
44159,14,51,68,49,59,,,41,50,,
44304,14,59,85,41,61,45,59,48,62,43,54
44306,14,60,94,,,,,,,60,88
44307,14,,,,,53,82,,,,
44308,14,68,82,49,68,,,,,,
44410,14,,,47,62,36,58,55,71,40,71
46001,28,67,88,52,75,66,87,63,85,62,99
46003,28,66,109,67,84,64,106,60,84,71,108
46004,28,61,86,48,61,51,75,49,59,49,61
46005,28,57,70,54,62,57,72,49,57,50,76
46006,28,74,99,68,98,69,79,72,81,71,80
46007,28,69,81,68,87,67,83,69,85,71,91
46008,28,68,86,69,90,66,77,72,84,70,82
46009,29,,,60,72,59,65,,,72,95
46011,29,68,79,69,78,73,106,71,86,74,90
46012,29,41,45,43,53,44,64,,,,
46013,29,64,80,55,71,60,68,63,78,61,95
46014,29,52,60,50,54,61,71,56,64,56,61
46015,29,56,66,58,68,53,59,64,78,58,63
46016,29,48,55,47,65,47,57,41,47,50,89
46017,29,50,56,56,89,58,89,61,96,61,80
46018,29,54,71,50,57,51,70,55,69,,
46020,29,61,101,57,95,,,58,89,,
46022,29,46,61,49,57,48,57,,,,
46027,30,,,49,67,61,74,63,68,67,77
46029,30,57,66,55,74,58,66,56,67,63,89
46030,30,68,76,60,65,64,74,70,88,68,77
46031,30,68,84,69,93,61,74,61,71,68,100
46032,29,61,77,59,90,63,90,58,74,57,81
46033,29,55,87,56,92,50,57,56,85,52,73
46034,30,65,74,63,80,62,77,64,84,62,73
46035,30,67,79,66,80,70,84,65,73,70,86
46036,30,67,99,55,62,62,79,61,91,65,78
46037,30,64,78,68,76,66,96,65,76,67,79
46038,30,53,65,52,62,66,74,69,104,65,74
46039,30,67,99,62,99,52,56,54,72,65,77
46040,30,53,58,57,70,54,86,60,74,56,73
46041,30,55,81,60,91,55,67,54,65,62,82
46042,30,85,104,84,102,80,97,78,94,84,99
46043,30,78,86,78,87,76,85,80,94,77,85
46044,30,70,79,54,59,61,67,61,71,66,80
46046,30,58,72,54,65,53,66,57,74,57,70
46047,30,73,84,77,109,76,93,83,121,87,104
46048,30,67,77,64,71,59,68,64,83,64,72
46051,28,61,85,65,73,68,109,83,101,83,99
46052,28,70,99,59,72,64,74,63,99,67,90
46053,28,73,82,80,92,76,100,79,103,85,107
46054,28,60,74,56,68,58,70,,,58,78
46055,28,58,65,61,84,61,69,64,71,65,76
46056,30,,,74,90,68,77,80,93,81,94
46057,30,,,,,,,59,68,60,87
46102,28,57,93,54,73,59,74,53,65,61,102
46110,29,,,52,62,52,60,55,66,54,60
46112,29,65,95,70,80,77,92,79,86,75,99
46121,30,46,71,43,53,,,,,,
46123,30,67,80,65,97,62,72,64,85,67,79
46124,30,64,76,66,86,65,74,67,95,65,75
46125,30,56,60,53,58,58,71,60,74,56,61
46126,30,59,66,59,72,58,62,59,70,60,70
46145,30,47,57,56,64,55,74,,,61,81
46149,30,67,84,68,97,70,97,61,79,67,85
46150,30,55,80,55,70,50,60,,,65,74
46151,29,69,82,66,74,67,77,66,83,73,97
46152,29,,,,,,,,,73,103
47001,30,45,74,41,54,43,48,48,66,37,42
47003,30,55,88,59,72,54,62,54,82,,
47005,30,,,51,58,55,62,54,64,58,69
47006,30,50,59,45,54,,,,,,
47007,30,60,75,56,73,56,80,64,99,,
47008,30,46,52,49,57,,,,,,
47009,30,49,62,41,51,47,71,50,87,50,83
47010,30,48,66,50,64,48,55,45,53,53,61
47011,30,46,52,49,59,43,48,,,45,83
47014,30,68,86,61,70,54,69,64,90,67,81
47016,30,,,,,,,62,75,61,96
47017,14,64,72,62,73,63,77,61,69,69,109
47018,14,64,76,68,77,65,77,63,75,63,70
47019,14,72,92,69,77,72,83,74,88,67,80
47022,14,61,73,,,62,86,69,117,,
47102,30,49,61,50,63,56,71,54,69,51,57
47112,14,57,78,53,64,55,91,60,86,61,78
47115,30,59,69,66,81,67,91,,,,
47120,14,68,82,61,73,59,74,65,78,60,84
49001,12,57,91,66,100,75,103,,,67,78
49002,12,57,83,60,88,62,75,60,73,59,87
49003,12,,,57,95,68,92,61,77,57,92
49004,12,,,,,55,61,,,51,75
49005,12,66,84,71,113,74,99,60,79,62,83
49006,12,58,85,,,,,68,111,,
49007,12,75,113,71,85,83,106,69,87,83,144
49008,12,,,57,74,59,96,59,77,,
49009,12,64,75,69,82,66,74,61,68,68,82
49010,12,56,72,53,75,64,102,68,105,,
49011,12,59,76,64,79,62,84,64,105,58,76
49012,12,61,76,,,,,,,,
49013,12,,,,,,,,,77,137
49014,12,60,78,64,79,62,72,54,72,62,102
49015,12,45,52,51,69,45,59,50,81,43,59
49016,12,38,45,,,,,,,,
49017,12,73,117,67,89,70,87,82,107,66,77
49018,23,55,73,55,69,56,74,60,72,56,68
49019,23,54,90,51,77,,,55,101,54,69
49020,23,60,77,54,60,55,75,49,56,,
49021,23,62,82,60,67,63,76,63,74,,
49022,23,52,64,49,81,51,60,50,67,49,64
49023,12,64,93,67,97,69,97,70,88,73,105
49024,12,57,98,49,80,,,,,50,74
49025,12,67,101,63,78,64,74,70,109,66,98
49027,12,70,97,,,,,,,38,70
49029,12,74,103,80,125,,,69,97,60,102
49032,23,68,79,71,80,74,84,71,83,68,77
49033,23,59,73,60,87,62,76,51,64,55,63
49035,23,63,73,66,80,65,75,61,70,65,93
49036,23,52,78,55,63,56,62,61,71,61,71
49037,23,70,96,73,101,78,100,76,116,,
49038,23,65,93,73,106,75,94,74,98,73,87
49039,23,61,72,59,77,63,73,60,69,58,65
49040,12,61,80,68,96,54,64,66,103,58,72
49041,12,63,95,65,80,59,87,66,107,67,84
49044,12,,,,,63,94,55,74,,
49045,12,,,54,87,,,,,,
49047,12,,,65,100,62,78,48,64,,
49048,12,,,52,87,,,,,,
49049,12,50,76,,,,,,,,
