rteno,BCR,obs_species_2010,est_species_2010,obs_species_2011,est_species_2011,obs_species_2012,est_species_2012,obs_species_2013,est_species_2013,obs_species_2014,est_species_2014
7001,25,,,,,,,,,57,71
7002,26,48,72,48,67,,,,,47,57
7004,25,69,109,61,87,60,96,65,97,,
7005,25,55,70,53,67,53,70,58,70,51,61
7006,25,43,62,40,53,38,44,,,,
7007,25,54,64,51,86,54,60,50,55,52,62
7008,26,59,71,57,86,51,62,46,60,50,57
7010,26,51,63,55,80,57,71,49,55,53,86
7013,25,41,49,46,49,49,60,53,64,62,85
7015,25,40,46,37,44,38,47,35,40,36,40
7016,26,45,59,,,43,60,,,,
7019,26,60,70,57,71,61,77,59,71,59,66
7020,24,60,78,57,75,61,84,63,86,62,75
7021,25,57,70,59,78,56,64,,,,
7022,25,55,63,61,72,61,87,58,77,60,70
7023,24,51,76,41,44,43,55,45,72,45,52
7024,25,,,48,64,44,52,47,61,50,84
7025,26,42,58,45,57,,,,,50,61
7026,24,52,66,52,62,48,64,45,53,48,74
7027,24,67,86,63,83,65,86,60,74,68,89
7028,24,62,75,61,75,63,99,63,83,66,75
7029,24,38,46,40,52,,,,,48,84
7030,24,66,76,65,89,,,,,47,61
7031,24,61,64,61,63,61,65,,,60,68
7033,24,66,82,52,58,58,66,50,57,55,63
7035,26,38,48,35,38,32,42,31,35,,
7036,26,34,44,,,,,,,,
7037,24,56,62,58,64,59,90,60,90,59,68
7038,24,,,64,79,65,78,64,76,58,71
7039,25,70,103,70,82,62,72,66,84,65,77
7041,25,59,74,67,101,65,92,59,83,,
7042,26,51,60,51,62,47,53,49,56,46,53
7043,26,54,67,58,69,,,,,58,79
7045,25,51,60,59,77,47,52,52,61,53,64
7046,25,,,,,,,59,81,,
7047,25,42,47,50,60,49,60,55,88,61,86
7048,26,52,81,52,65,,,,,45,55
7049,24,,,72,85,68,81,68,117,70,88
7103,25,37,48,60,76,,,,,59,73
7109,26,42,60,36,45,40,54,37,48,39,53
7111,25,55,65,59,74,58,66,64,73,65,90
7112,25,69,85,72,84,69,83,68,87,,
7114,25,,,,,,,,,44,52
7117,26,45,65,42,48,44,65,44,63,,
7118,26,57,91,50,54,,,,,47,55
14001,5,59,69,59,70,57,73,61,91,,
14003,9,,,,,69,122,64,111,64,103
14005,5,,,,,,,75,89,80,104
14006,5,56,73,54,66,52,62,61,86,49,63
14007,32,50,63,52,81,48,61,46,55,54,90
14009,15,,,,,44,53,51,87,53,77
14011,5,43,62,58,89,64,110,56,104,54,100
14012,32,,,,,,,,,50,60
14013,15,,,41,53,44,54,40,44,45,58
14014,5,61,71,64,108,67,102,64,87,62,74
14016,32,26,44,29,44,23,28,23,25,22,28
14018,15,45,73,42,57,40,48,43,64,51,95
14021,32,68,107,56,79,51,83,48,59,47,67
14022,15,,,65,92,,,,,,
14023,9,16,39,,,,,,,,
14026,32,,,,,17,21,12,14,,
14032,32,,,,,39,44,35,45,28,31
14035,33,,,,,15,33,,,,
14037,33,,,,,,,,,25,33
14038,32,,,,,59,69,54,67,57,68
14046,32,,,,,46,82,,,,
14047,32,52,61,56,67,51,61,50,64,49,56
14049,33,34,40,30,51,35,43,31,38,32,35
14050,32,,,,,,,42,65,,
14051,33,,,,,,,38,58,31,44
14052,32,,,36,46,,,,,,
14053,32,,,,,47,57,37,47,41,47
14054,32,55,86,52,66,48,58,,,,
14057,32,,,,,56,72,54,70,,
14059,33,12,14,17,21,13,26,12,26,15,17
14060,33,,,,,17,26,,,,
14062,33,15,17,,,,,,,,
14064,33,22,48,20,26,,,18,23,,
14069,33,,,9,10,9,16,12,15,8,13
14071,32,86,134,75,86,75,87,76,112,69,79
14075,5,,,,,41,51,,,,
14077,5,,,,,33,42,,,,
14078,15,51,78,54,62,45,53,50,58,50,73
14079,32,56,70,65,93,64,80,58,75,62,92
14080,32,41,49,47,57,43,68,41,53,40,50
14081,5,,,47,70,,,,,,
14082,15,,,54,79,55,78,63,81,61,89
14083,32,,,,,,,63,103,,
14084,9,,,,,30,44,37,50,37,73
14088,33,16,21,16,28,12,14,,,12,13
14089,33,39,46,46,63,41,63,39,47,42,49
14095,15,34,37,37,49,38,47,,,35,39
14096,9,37,44,42,55,43,58,38,51,40,63
14097,32,60,82,58,66,47,70,,,,
14098,32,68,90,64,94,68,86,67,83,63,76
14099,32,,,,,31,40,33,38,33,54
14103,32,,,,,48,53,58,85,,
14104,32,,,,,45,63,36,47,36,46
14106,32,43,65,54,70,57,98,56,81,45,67
14108,32,58,87,61,73,69,81,67,82,64,77
14111,32,,,,,50,57,48,53,50,61
14112,33,31,36,,,42,80,25,31,37,63
14114,32,,,,,62,81,56,90,59,65
14116,33,,,27,40,,,,,,
14117,32,64,89,56,100,62,85,70,118,,
14118,32,56,74,62,87,60,96,,,50,65
14122,32,,,,,,,37,47,39,62
14127,32,,,52,59,63,84,62,72,55,65
14128,32,58,95,59,86,65,83,60,80,63,99
14129,32,,,,,39,49,42,55,40,50
14130,32,,,,,54,75,,,,
14132,15,46,60,40,48,48,58,46,61,,
14133,32,,,,,51,71,45,58,48,77
14136,32,,,,,48,65,44,72,47,56
14137,32,,,,,51,65,50,72,49,58
14138,32,29,36,39,47,34,43,36,71,39,53
14139,33,,,,,,,,,12,24
14140,32,19,20,26,34,19,24,24,32,21,25
14142,32,48,74,,,39,54,38,59,38,51
14147,32,,,,,29,61,28,57,21,30
14149,32,,,,,47,74,,,,
14150,33,26,33,,,21,23,,,,
14151,9,66,93,59,76,65,107,70,102,77,131
14153,32,61,66,62,74,,,58,63,61,78
14154,9,,,,,48,80,48,90,58,137
14155,32,44,79,51,69,44,53,44,57,43,55
14156,15,56,65,61,77,53,64,63,77,61,76
14158,15,62,92,59,97,61,87,56,76,60,102
14159,32,47,56,40,44,49,82,47,87,,
14160,5,61,75,57,70,59,69,54,66,57,82
14161,32,54,67,56,81,56,65,48,56,50,72
14162,9,,,43,61,35,42,46,58,46,84
14164,5,55,64,55,68,40,59,,,,
14165,9,63,109,65,76,60,83,57,69,59,75
14166,9,95,108,93,114,97,125,84,135,,
14167,5,,,,,42,54,,,,
14168,9,95,115,96,117,91,108,90,111,,
14169,5,,,48,54,60,75,51,64,53,73
14172,32,66,86,55,72,,,,,,
14173,32,,,57,70,56,84,49,90,54,65
14174,5,,,33,58,38,61,31,51,,
14175,5,49,65,,,54,92,52,65,50,97
14176,9,,,,,43,54,46,58,46,61
14177,9,,,,,58,79,61,86,57,73
14178,5,64,90,65,81,72,88,,,,
14179,32,55,76,52,71,51,64,54,76,51,94
14180,15,,,,,48,67,53,68,48,63
14181,15,69,100,63,95,67,87,62,81,70,88
14182,5,51,67,51,69,58,79,59,81,52,76
14183,32,,,,,,,72,91,70,87
14184,15,,,,,,,59,95,,
14185,15,,,,,40,50,51,69,50,74
14186,32,58,81,64,92,63,84,63,100,57,78
14188,15,56,69,48,55,52,63,47,56,52,65
14189,32,87,113,86,134,83,98,80,102,89,122
14190,32,63,78,58,78,62,74,,,55,83
14192,9,46,64,,,44,52,,,,
14193,5,63,87,70,87,72,123,58,107,61,78
14194,32,56,66,51,61,55,77,54,60,51,61
14195,32,,,,,45,56,49,93,61,78
14198,5,62,96,66,111,62,77,61,113,67,90
14199,9,60,83,50,60,55,66,51,61,47,56
14200,5,,,,,49,56,,,,
14201,15,,,,,39,61,31,33,38,46
14205,15,49,82,47,66,,,,,43,68
14210,5,,,50,62,,,,,,
14221,32,49,61,47,73,45,55,49,75,53,71
14225,32,62,69,62,75,,,,,,
14226,32,53,71,54,74,53,65,52,67,49,61
14240,33,,,,,,,14,16,,
14252,32,,,,,44,61,52,90,46,63
14267,5,,,,,,,,,40,59
14302,32,,,52,73,45,72,,,,
14308,15,,,,,36,50,34,53,35,42
14313,32,,,,,46,52,,,,
14319,32,70,101,57,69,68,93,68,80,56,69
14341,32,51,63,,,59,106,66,95,54,80
14345,32,,,,,,,,,39,58
14352,32,50,62,,,,,55,65,59,70
14357,32,42,52,45,72,39,73,43,56,39,47
14366,32,,,,,39,51,39,53,42,61
14401,5,,,30,41,30,38,,,33,41
14402,5,,,,,41,84,,,46,84
14404,5,,,,,42,67,27,29,37,50
14405,9,54,70,,,,,,,,
14406,9,48,60,51,61,55,69,57,79,55,75
14407,9,48,63,46,56,52,61,56,69,55,68
14408,9,50,62,67,93,63,96,68,88,68,90
14409,5,42,63,44,60,,,56,89,,
14410,5,47,81,,,,,,,,
14411,32,55,69,62,90,,,,,,
14413,15,,,,,32,39,,,,
14414,15,55,75,59,76,,,,,,
14415,15,63,74,63,80,67,86,59,73,58,79
14416,15,,,,,58,79,,,54,72
14417,15,,,,,62,78,63,79,65,84
14418,15,52,65,,,54,71,54,68,57,85
14419,15,37,43,40,49,40,53,41,45,43,49
